event_id,user_id,session_id,timestamp,query_text,query_length,search_variant,result_count,latency_ms,top_result_similarity_score
SU00073_0_SESS_U00073_0_0_0,U00073,SESS_U00073_0_0,2026-06-01 12:02:00,fleece pullover,2,ai_semantic,8,119.2,0.8878999948501587
SU00077_0_SESS_U00077_0_0_0,U00077,SESS_U00077_0_0,2026-06-01 21:47:00,best sandals for rain,4,ai_semantic,8,162.4,0.5997999906539917
SU00078_0_SESS_U00078_0_0_0,U00078,SESS_U00078_0_0,2026-06-01 08:49:00,compact sleeping bag,3,ai_semantic,8,228.0,0.8403000235557556
SU00079_0_SESS_U00079_0_0_0,U00079,SESS_U00079_0_0,2026-06-01 11:43:00,sweater felece-lined,2,ai_semantic,8,194.6,0.7063999772071838
SU00080_0_SESS_U00080_0_0_0,U00080,SESS_U00080_0_0,2026-06-01 09:20:00,gift earbuds,2,ai_semantic,8,148.2,0.6978999972343445
SU00080_0_SESS_U00080_0_0_1,U00080,SESS_U00080_0_0,2026-06-01 08:02:00,noise-cancelling speaker,2,ai_semantic,8,193.4,0.7688999772071838
SU00080_0_SESS_U00080_0_1_0,U00080,SESS_U00080_0_1,2026-06-01 07:27:00,breathable running shoes,3,ai_semantic,8,150.2,0.8873999714851379
SU00080_0_SESS_U00080_0_1_1,U00080,SESS_U00080_0_1,2026-06-01 11:28:00,ultralight headlamp for rain,4,ai_semantic,8,205.3,0.6370999813079834
SU00087_0_SESS_U00087_0_0_0,U00087,SESS_U00087_0_0,2026-06-01 21:39:00,steel air fryer,3,ai_semantic,8,213.5,0.7907999753952026
SU00091_0_SESS_U00091_0_0_0,U00091,SESS_U00091_0_0,2026-06-01 16:39:00,keychain engravde,2,legacy,6,81.9,0.5654
SU00096_0_SESS_U00096_0_0_0,U00096,SESS_U00096_0_0,2026-06-01 19:00:00,gift running sheos,3,legacy,8,102.1,0.5615
SU00097_0_SESS_U00097_0_0_0,U00097,SESS_U00097_0_0,2026-06-01 16:56:00,knife set dishwahser-safe,3,legacy,8,64.9,0.5763
SU00097_0_SESS_U00097_0_0_1,U00097,SESS_U00097_0_0,2026-06-01 18:28:00,foldalbe tent,2,legacy,7,84.0,0.5608
SU00097_0_SESS_U00097_0_0_2,U00097,SESS_U00097_0_0,2026-06-01 10:33:00,backpack under 50 dollars,4,legacy,6,67.0,0.5483
SU00098_0_SESS_U00098_0_0_0,U00098,SESS_U00098_0_0,2026-06-01 11:26:00,rain coat,2,ai_semantic,8,162.2,0.7587000131607056
SU00099_0_SESS_U00099_0_0_0,U00099,SESS_U00099_0_0,2026-06-01 10:24:00,loafers under 50 dollars,4,ai_semantic,8,166.3,0.5924999713897705
SU00106_0_SESS_U00106_0_0_0,U00106,SESS_U00106_0_0,2026-06-01 19:41:00,lightweight loafers for gym,4,ai_semantic,8,190.5,0.7597000002861023
SU00109_0_SESS_U00109_0_0_0,U00109,SESS_U00109_0_0,2026-06-01 17:20:00,best toaster for camping,4,legacy,8,101.9,0.5837
SU00112_0_SESS_U00112_0_0_0,U00112,SESS_U00112_0_0,2026-06-01 07:01:00,best winter boots for gym,5,legacy,8,80.3,0.594
SU00114_0_SESS_U00114_0_0_0,U00114,SESS_U00114_0_0,2026-06-01 18:02:00,thermal leggings coyz,3,legacy,7,100.7,0.5813
SU00115_0_SESS_U00115_0_0_0,U00115,SESS_U00115_0_0,2026-06-01 19:41:00,sleeping bag copmact,3,ai_semantic,8,176.8,0.616599977016449
SU00115_0_SESS_U00115_0_0_1,U00115,SESS_U00115_0_0,2026-06-01 21:49:00,best winter boots for my mom,6,ai_semantic,8,174.7,0.5870000123977661
SU00116_0_SESS_U00116_0_0_0,U00116,SESS_U00116_0_0,2026-06-01 18:04:00,speaker,1,legacy,5,98.2,0.415
SU00119_0_SESS_U00119_0_0_0,U00119,SESS_U00119_0_0,2026-06-01 20:40:00,gift beanie,2,legacy,8,93.1,0.5827
SU00120_0_SESS_U00120_0_0_0,U00120,SESS_U00120_0_0,2026-06-01 07:58:00,wamr beanie,2,legacy,5,93.4,0.556
SU00123_0_SESS_U00123_0_0_0,U00123,SESS_U00123_0_0,2026-06-01 20:38:00,jacket moitsure-wicking,2,ai_semantic,8,170.1,0.5304999947547913
SU00125_0_SESS_U00125_0_0_0,U00125,SESS_U00125_0_0,2026-06-01 11:45:00,engraved mug,2,legacy,8,84.2,0.5352
SU00125_0_SESS_U00125_0_0_1,U00125,SESS_U00125_0_0,2026-06-01 19:01:00,gift headphones,2,legacy,8,80.4,0.5749
SU00128_0_SESS_U00128_0_0_0,U00128,SESS_U00128_0_0,2026-06-01 17:00:00,best cleats for the ofifce,5,ai_semantic,8,170.2,0.7017999887466431
SU00129_0_SESS_U00129_0_0_0,U00129,SESS_U00129_0_0,2026-06-01 09:15:00,heavy-duty tent for camping,4,ai_semantic,8,188.6,0.8526999950408936
SU00129_0_SESS_U00129_0_0_1,U00129,SESS_U00129_0_0,2026-06-01 22:01:00,charging cable under 50 dollars,5,ai_semantic,8,195.4,0.5597000122070312
SU00129_0_SESS_U00129_0_0_2,U00129,SESS_U00129_0_0,2026-06-01 07:56:00,winter boots,2,ai_semantic,8,216.2,0.7364000082015991
SU00129_0_SESS_U00129_0_1_0,U00129,SESS_U00129_0_1,2026-06-01 21:18:00,speaker wierless,2,ai_semantic,8,178.0,0.6238999962806702
SU00133_0_SESS_U00133_0_0_0,U00133,SESS_U00133_0_0,2026-06-01 21:53:00,cheap gitf box set,4,ai_semantic,8,191.6,0.5242000222206116
SU00133_0_SESS_U00133_0_0_1,U00133,SESS_U00133_0_0,2026-06-01 19:24:00,cheap headlamp,2,ai_semantic,8,190.7,0.7418000102043152
SU00134_0_SESS_U00134_0_0_0,U00134,SESS_U00134_0_0,2026-06-01 21:43:00,tent inuslated,2,legacy,7,60.6,0.5799
SU00137_0_SESS_U00137_0_0_0,U00137,SESS_U00137_0_0,2026-06-01 13:08:00,best cooler for rain,4,legacy,8,92.2,0.5487
SU00137_0_SESS_U00137_0_1_0,U00137,SESS_U00137_0_1,2026-06-01 19:01:00,bluetooth webcam for rain,4,legacy,8,93.7,0.5426
SU00147_0_SESS_U00147_0_0_0,U00147,SESS_U00147_0_0,2026-06-01 14:20:00,photo frame under 50 dollars,5,ai_semantic,8,175.5,0.5997999906539917
SU00149_0_SESS_U00149_0_0_0,U00149,SESS_U00149_0_0,2026-06-01 14:18:00,winter boots,2,legacy,8,98.8,0.5954
SU00149_0_SESS_U00149_0_0_1,U00149,SESS_U00149_0_0,2026-06-01 20:01:00,minimalist candle for my mom,5,legacy,8,107.9,0.5848
SU00150_0_SESS_U00150_0_0_0,U00150,SESS_U00150_0_0,2026-06-01 15:58:00,gift pwoer bank,3,legacy,8,87.8,0.5981
SU00150_0_SESS_U00150_0_0_1,U00150,SESS_U00150_0_0,2026-06-01 13:48:00,sotf jacket,2,legacy,6,62.8,0.578
SU00157_0_SESS_U00157_0_0_0,U00157,SESS_U00157_0_0,2026-06-01 20:42:00,somthing for the office,4,legacy,8,92.3,0.5821
SU00158_0_SESS_U00158_0_0_0,U00158,SESS_U00158_0_0,2026-06-01 08:15:00,moisture-wicking jacket for winter,4,legacy,8,73.6,0.5715
SU00162_0_SESS_U00162_0_0_0,U00162,SESS_U00162_0_0,2026-06-01 19:47:00,gift tent,2,ai_semantic,8,221.7,0.6816999912261963
SU00166_0_SESS_U00166_0_0_0,U00166,SESS_U00166_0_0,2026-06-01 21:32:00,sandals under 50 dollars,4,legacy,4,115.9,0.4462
SU00167_0_SESS_U00167_0_0_0,U00167,SESS_U00167_0_0,2026-06-01 15:11:00,best journal for a gift,5,ai_semantic,8,189.1,0.6693000197410583
SU00170_0_SESS_U00170_0_0_0,U00170,SESS_U00170_0_0,2026-06-01 12:22:00,breathable cleats for rain,4,legacy,8,71.7,0.585
SU00174_0_SESS_U00174_0_0_0,U00174,SESS_U00174_0_0,2026-06-01 21:08:00,best loafers for the office,5,legacy,8,110.3,0.5761
SU00174_0_SESS_U00174_0_0_1,U00174,SESS_U00174_0_0,2026-06-01 11:37:00,lightweight hoodie for gym,4,legacy,8,80.4,0.5935
SU00175_0_SESS_U00175_0_0_0,U00175,SESS_U00175_0_0,2026-06-01 11:38:00,winter boots under 50 dollars,5,legacy,8,66.8,0.5907
SU00179_0_SESS_U00179_0_0_0,U00179,SESS_U00179_0_0,2026-06-01 18:31:00,fleece pullover,2,ai_semantic,8,116.7,0.8878999948501587
SU00179_0_SESS_U00179_0_0_1,U00179,SESS_U00179_0_0,2026-06-01 21:36:00,winter boots,2,ai_semantic,8,192.8,0.7364000082015991
SU00179_0_SESS_U00179_0_1_0,U00179,SESS_U00179_0_1,2026-06-01 20:31:00,personalized gift box set for gym,6,ai_semantic,8,139.1,0.760200023651123
SU00179_0_SESS_U00179_0_1_1,U00179,SESS_U00179_0_1,2026-06-01 19:53:00,bset coffee maker for travel,5,ai_semantic,8,178.1,0.41029998660087585
SU00185_0_SESS_U00185_0_0_0,U00185,SESS_U00185_0_0,2026-06-01 12:41:00,rechargeable power bank for winter,5,legacy,8,95.6,0.5228
SU00187_0_SESS_U00187_0_0_0,U00187,SESS_U00187_0_0,2026-06-01 15:15:00,sweater wamr,2,ai_semantic,8,175.3,0.5648999810218811
SU00187_0_SESS_U00187_0_0_1,U00187,SESS_U00187_0_0,2026-06-01 22:46:00,portable cooler,2,ai_semantic,8,160.7,0.8744999766349792
SU00187_0_SESS_U00187_0_1_0,U00187,SESS_U00187_0_1,2026-06-01 19:05:00,cheap steel toaster,3,ai_semantic,8,192.5,0.7070000171661377
SU00191_0_SESS_U00191_0_0_0,U00191,SESS_U00191_0_0,2026-06-01 08:53:00,best steel mixing bowl for the office,7,ai_semantic,8,238.4,0.7565000057220459
SU00192_0_SESS_U00192_0_0_0,U00192,SESS_U00192_0_0,2026-06-01 20:56:00,handmade journal for my mom,5,legacy,8,81.7,0.5747
SU00192_0_SESS_U00192_0_0_1,U00192,SESS_U00192_0_0,2026-06-01 21:51:00,cheap mug,2,legacy,6,61.6,0.5868
SU00192_0_SESS_U00192_0_0_2,U00192,SESS_U00192_0_0,2026-06-01 21:27:00,best desk ornamnet for gym,5,legacy,8,122.1,0.5904
SU00196_0_SESS_U00196_0_0_0,U00196,SESS_U00196_0_0,2026-06-01 17:38:00,thermal leggings,2,ai_semantic,8,143.7,0.8860999941825867
SU00196_0_SESS_U00196_0_0_1,U00196,SESS_U00196_0_0,2026-06-01 11:19:00,gift sneakers,2,ai_semantic,8,204.8,0.6984000205993652
SU00197_0_SESS_U00197_0_0_0,U00197,SESS_U00197_0_0,2026-06-01 09:09:00,best rain coat for the office,6,legacy,8,99.5,0.567
SU00197_0_SESS_U00197_0_1_0,U00197,SESS_U00197_0_1,2026-06-01 19:16:00,hoodie fleeec-lined,2,legacy,7,122.3,0.5913
SU00200_0_SESS_U00200_0_0_0,U00200,SESS_U00200_0_0,2026-06-01 14:35:00,best jacket for winter,4,ai_semantic,8,153.2,0.6187000274658203
SU00203_0_SESS_U00203_0_0_0,U00203,SESS_U00203_0_0,2026-06-01 10:40:00,somthing for winter,3,legacy,8,104.0,0.5192
SU00203_0_SESS_U00203_0_0_1,U00203,SESS_U00203_0_0,2026-06-01 19:34:00,cooler,1,legacy,6,104.2,0.5081
SU00203_0_SESS_U00203_0_0_2,U00203,SESS_U00203_0_0,2026-06-01 08:25:00,cheap speaker,2,legacy,5,102.8,0.5645
SU00205_0_SESS_U00205_0_0_0,U00205,SESS_U00205_0_0,2026-06-01 09:39:00,photo frame,2,legacy,6,71.8,0.5937
SU00216_0_SESS_U00216_0_0_0,U00216,SESS_U00216_0_0,2026-06-01 17:51:00,cheap sneakers,2,ai_semantic,8,173.4,0.6583999991416931
SU00216_0_SESS_U00216_0_0_1,U00216,SESS_U00216_0_0,2026-06-01 18:46:00,breathable running shoes for hiking,5,ai_semantic,8,194.7,0.8331999778747559
SU00219_0_SESS_U00219_0_0_0,U00219,SESS_U00219_0_0,2026-06-01 07:53:00,gift cookware set,3,legacy,8,86.5,0.5572
SU00223_0_SESS_U00223_0_0_0,U00223,SESS_U00223_0_0,2026-06-01 12:09:00,journal,1,ai_semantic,8,160.3,0.6930000185966492
SU00223_0_SESS_U00223_0_0_1,U00223,SESS_U00223_0_0,2026-06-01 15:34:00,cooler under 50 dollars,4,ai_semantic,8,211.3,0.5360000133514404
SU00225_0_SESS_U00225_0_0_0,U00225,SESS_U00225_0_0,2026-06-01 11:31:00,personalized keychain,2,ai_semantic,8,119.5,0.826200008392334
SU00226_0_SESS_U00226_0_0_0,U00226,SESS_U00226_0_0,2026-06-01 18:21:00,best blender for camping,4,legacy,8,68.4,0.5733
SU00228_0_SESS_U00228_0_0_0,U00228,SESS_U00228_0_0,2026-06-01 21:21:00,best smartwatch for hiking,4,legacy,8,85.7,0.5871
SU00231_0_SESS_U00231_0_0_0,U00231,SESS_U00231_0_0,2026-06-01 17:14:00,engraved mug,2,legacy,8,69.3,0.5445
SU00231_0_SESS_U00231_0_0_1,U00231,SESS_U00231_0_0,2026-06-01 15:22:00,high-top sneakers for my mom,5,legacy,8,86.0,0.5609
SU00231_0_SESS_U00231_0_1_0,U00231,SESS_U00231_0_1,2026-06-01 20:40:00,cookware set creamic,3,legacy,8,110.6,0.5516
SU00233_0_SESS_U00233_0_0_0,U00233,SESS_U00233_0_0,2026-06-01 18:32:00,cheap sneakesr,2,legacy,0,72.2,
SU00233_0_SESS_U00233_0_0_1,U00233,SESS_U00233_0_0,2026-06-01 17:03:00,gift mug,2,legacy,8,82.6,0.5992
SU00237_0_SESS_U00237_0_0_0,U00237,SESS_U00237_0_0,2026-06-01 18:09:00,gift backpack,2,legacy,8,92.1,0.5164
SU00241_0_SESS_U00241_0_0_0,U00241,SESS_U00241_0_0,2026-06-01 17:04:00,compact air fryer for my mom,6,legacy,8,52.2,0.5287
SU00246_0_SESS_U00246_0_0_0,U00246,SESS_U00246_0_0,2026-06-01 18:49:00,rustic desk ornament for my mom,6,ai_semantic,8,190.6,0.838699996471405
SU00246_0_SESS_U00246_0_1_0,U00246,SESS_U00246_0_1,2026-06-01 15:34:00,gift beanie,2,ai_semantic,8,224.4,0.7200000286102295
SU00246_0_SESS_U00246_0_1_1,U00246,SESS_U00246_0_1,2026-06-01 10:12:00,best coffee maker for a gift,6,ai_semantic,8,189.9,0.5627999901771545
SU00246_0_SESS_U00246_0_1_2,U00246,SESS_U00246_0_1,2026-06-01 11:00:00,cleats,1,ai_semantic,8,217.7,0.7260000109672546
SU00251_0_SESS_U00251_0_0_0,U00251,SESS_U00251_0_0,2026-06-01 19:39:00,gift headphones,2,ai_semantic,8,162.3,0.6919000148773193
SU00254_0_SESS_U00254_0_0_0,U00254,SESS_U00254_0_0,2026-06-01 17:49:00,dishwasher-safe toaster,2,legacy,8,108.8,0.5691
SU00254_0_SESS_U00254_0_0_1,U00254,SESS_U00254_0_0,2026-06-01 07:59:00,trail hiking boots for camping,5,legacy,8,44.8,0.5435
SU00254_0_SESS_U00254_0_0_2,U00254,SESS_U00254_0_0,2026-06-01 09:22:00,best gift box set for my mom,7,legacy,8,76.2,0.5735
SU00257_0_SESS_U00257_0_0_0,U00257,SESS_U00257_0_0,2026-06-01 22:48:00,best keychain for gym,4,ai_semantic,8,199.1,0.6373000144958496
SU00257_0_SESS_U00257_0_0_1,U00257,SESS_U00257_0_0,2026-06-01 15:08:00,winter boots breatahble,3,ai_semantic,8,193.6,0.5881999731063843
SU00259_0_SESS_U00259_0_0_0,U00259,SESS_U00259_0_0,2026-06-01 09:59:00,best backpack for my mom,5,legacy,8,131.1,0.5445
SU00261_0_SESS_U00261_0_0_0,U00261,SESS_U00261_0_0,2026-06-01 07:22:00,gfit power bank,3,ai_semantic,8,192.0,0.5910000205039978
SU00261_0_SESS_U00261_0_0_1,U00261,SESS_U00261_0_0,2026-06-01 18:57:00,somthing for the office,4,ai_semantic,8,180.4,0.2831999957561493
SU00264_0_SESS_U00264_0_0_0,U00264,SESS_U00264_0_0,2026-06-01 09:51:00,running shoes,2,legacy,8,77.6,0.5067
SU00264_0_SESS_U00264_0_1_0,U00264,SESS_U00264_0_1,2026-06-01 19:42:00,best winter boots for hiking,5,legacy,8,116.4,0.4469
SU00264_0_SESS_U00264_0_1_1,U00264,SESS_U00264_0_1,2026-06-01 14:14:00,breathable running sheos,3,legacy,8,116.3,0.5481
SU00265_0_SESS_U00265_0_0_0,U00265,SESS_U00265_0_0,2026-06-01 15:48:00,cheap blender,2,legacy,6,126.3,0.563
SU00268_0_SESS_U00268_0_0_0,U00268,SESS_U00268_0_0,2026-06-01 13:54:00,best headlamp for a gift,5,legacy,8,85.4,0.5834
SU00269_0_SESS_U00269_0_0_0,U00269,SESS_U00269_0_0,2026-06-01 16:43:00,air fryer under 50 dollars,5,legacy,6,72.6,0.5962
SU00270_0_SESS_U00270_0_0_0,U00270,SESS_U00270_0_0,2026-06-01 19:56:00,sweater under 50 dollars,4,ai_semantic,8,214.2,0.5741000175476074
SU00270_0_SESS_U00270_0_0_1,U00270,SESS_U00270_0_0,2026-06-01 17:04:00,celats under 50 dollars,4,ai_semantic,8,161.8,0.1606999933719635
SU00270_0_SESS_U00270_0_0_2,U00270,SESS_U00270_0_0,2026-06-01 07:11:00,somthing for winter,3,ai_semantic,8,139.8,0.4092999994754791
SU00270_0_SESS_U00270_0_1_0,U00270,SESS_U00270_0_1,2026-06-01 09:22:00,gift steel knife set,4,ai_semantic,8,185.8,0.6256999969482422
SU00270_0_SESS_U00270_0_1_1,U00270,SESS_U00270_0_1,2026-06-01 07:16:00,winter boots,2,ai_semantic,8,188.4,0.7364000082015991
SU00274_0_SESS_U00274_0_0_0,U00274,SESS_U00274_0_0,2026-06-01 16:35:00,gift gift box set,4,legacy,8,114.6,0.5987
SU00276_0_SESS_U00276_0_0_0,U00276,SESS_U00276_0_0,2026-06-01 07:15:00,loafers under 50 dollars,4,ai_semantic,8,94.1,0.5924999713897705
SU00284_0_SESS_U00284_0_0_0,U00284,SESS_U00284_0_0,2026-06-01 09:53:00,best mixing bowl for camping,5,legacy,8,56.9,0.5527
SU00289_0_SESS_U00289_0_0_0,U00289,SESS_U00289_0_0,2026-06-01 21:35:00,beanie lightwieght,2,ai_semantic,8,236.5,0.6496000289916992
SU00289_0_SESS_U00289_0_0_1,U00289,SESS_U00289_0_0,2026-06-01 22:32:00,slip-on loafers,2,ai_semantic,8,120.8,0.8991000056266785
SU00295_0_SESS_U00295_0_0_0,U00295,SESS_U00295_0_0,2026-06-01 14:59:00,charging cable,2,ai_semantic,8,189.9,0.7164999842643738
SU00295_0_SESS_U00295_0_1_0,U00295,SESS_U00295_0_1,2026-06-01 14:09:00,mug handmdae,2,ai_semantic,8,234.1,0.6061999797821045
SU00297_0_SESS_U00297_0_0_0,U00297,SESS_U00297_0_0,2026-06-01 21:11:00,cheap rain coat,3,ai_semantic,8,138.9,0.7279000282287598
SU00297_0_SESS_U00297_0_1_0,U00297,SESS_U00297_0_1,2026-06-01 20:07:00,cookware set under 50 dollars,5,ai_semantic,8,157.5,0.6148999929428101
SU00299_0_SESS_U00299_0_0_0,U00299,SESS_U00299_0_0,2026-06-01 21:44:00,hoodie,1,legacy,7,64.1,0.5854
SU00305_0_SESS_U00305_0_0_0,U00305,SESS_U00305_0_0,2026-06-01 18:33:00,somthing for gym,3,legacy,8,72.8,0.5898
SU00305_0_SESS_U00305_0_0_1,U00305,SESS_U00305_0_0,2026-06-01 16:45:00,breathable cleats for hiking,4,legacy,8,103.9,0.5486
SU00306_0_SESS_U00306_0_0_0,U00306,SESS_U00306_0_0,2026-06-01 09:12:00,lightweight loafers for the office,5,ai_semantic,8,209.6,0.8335000276565552
SU00306_0_SESS_U00306_0_0_1,U00306,SESS_U00306_0_0,2026-06-01 08:45:00,compact headphones,2,ai_semantic,8,171.0,0.809499979019165
SU00307_0_SESS_U00307_0_0_0,U00307,SESS_U00307_0_0,2026-06-01 11:59:00,gift sneakers,2,legacy,8,87.5,0.4942
SU00307_0_SESS_U00307_0_0_1,U00307,SESS_U00307_0_0,2026-06-01 09:05:00,blender,1,legacy,6,68.9,0.5715
SU00312_0_SESS_U00312_0_0_0,U00312,SESS_U00312_0_0,2026-06-01 21:59:00,rechargeable webcam,2,legacy,8,91.7,0.538
SU00312_0_SESS_U00312_0_1_0,U00312,SESS_U00312_0_1,2026-06-01 22:08:00,cheap fleece pullover,3,legacy,7,59.1,0.5316
SU00312_0_SESS_U00312_0_1_1,U00312,SESS_U00312_0_1,2026-06-01 08:59:00,best candle for hiking,4,legacy,8,99.2,0.574
SU00313_0_SESS_U00313_0_0_0,U00313,SESS_U00313_0_0,2026-06-01 09:36:00,journal,1,ai_semantic,8,211.4,0.6930000185966492
SU00313_0_SESS_U00313_0_0_1,U00313,SESS_U00313_0_0,2026-06-01 13:36:00,somthing for winter,3,ai_semantic,8,206.3,0.4092999994754791
SU00313_0_SESS_U00313_0_0_2,U00313,SESS_U00313_0_0,2026-06-01 20:53:00,gift jacket,2,ai_semantic,8,174.6,0.5550000071525574
SU00315_0_SESS_U00315_0_0_0,U00315,SESS_U00315_0_0,2026-06-01 15:33:00,gfit tent,2,legacy,7,119.6,0.5774
